Name,Source
Alexander Travis Hawthorn,P27: country of citizenship - Confederate States of America
Allison Nelson,P27: country of citizenship - Confederate States of America
Augustus Hill Garland,P27: country of citizenship - Confederate States of America
Charles B. Mitchel,P27: country of citizenship - Confederate States of America
Charles Burton Mitchel,P27: country of citizenship - Confederate States of America
Charles W. Field,P27: country of citizenship - Confederate States of America
Chas. B. Mitchel,P27: country of citizenship - Confederate States of America
Christoph Gustav Memminger,P27: country of citizenship - Confederate States of America
Christopher Gustavus Memminger,P27: country of citizenship - Confederate States of America
Claiborne Fox Jackson,P27: country of citizenship - Confederate States of America
Colin John McRae,P27: country of citizenship - Confederate States of America
Daniel Marsh Frost,P27: country of citizenship - Confederate States of America
Edmund Kirby Smith,P27: country of citizenship - Confederate States of America
Edwin Francis Jemison,P27: country of citizenship - Confederate States of America
Francis Marion Bamberg,P27: country of citizenship - Confederate States of America
Harris Flanagin,P27: country of citizenship - Confederate States of America
Henry Cox Jones,P27: country of citizenship - Confederate States of America
Henry L. Muldrow,P27: country of citizenship - Confederate States of America
Henry Lowndes Muldrow,P27: country of citizenship - Confederate States of America
Henry Massey Rector,P27: country of citizenship - Confederate States of America
Henry S Campbell,P27: country of citizenship - Confederate States of America
Howell Cobb,P27: country of citizenship - Confederate States of America
Hugh French Thomason,P27: country of citizenship - Confederate States of America
James Camp Tappan,P27: country of citizenship - Confederate States of America
James Campbell Bates,P27: country of citizenship - Confederate States of America
James Marshall Collier,P27: country of citizenship - Confederate States of America
James P. Simms,P27: country of citizenship - Confederate States of America
Jeff Thompson,P27: country of citizenship - Confederate States of America
Jefferson Finis Davis,P27: country of citizenship - Confederate States of America
John Cabell Breckinridge,P27: country of citizenship - Confederate States of America
John Gregg,P27: country of citizenship - Confederate States of America
John Jones Pettus,P27: country of citizenship - Confederate States of America
John Selden Roane,P27: country of citizenship - Confederate States of America
John W. Lewis,P27: country of citizenship - Confederate States of America
"John Wood Lewis, Sr.",P27: country of citizenship - Confederate States of America
Joseph F. Johnston,P27: country of citizenship - Confederate States of America
Joseph Wheeler,P27: country of citizenship - Confederate States of America
Kirby Smith,P27: country of citizenship - Confederate States of America
Meriwether Jeff Thompson,P27: country of citizenship - Confederate States of America
Monroe M. Parsons,P27: country of citizenship - Confederate States of America
Mosby Monroe Parsons,P27: country of citizenship - Confederate States of America
Mosby Monroe Parsons,P27: country of citizenship - Confederate States of America
Nicholas Davis,P27: country of citizenship - Confederate States of America
Nicholas Davis Jr.,P27: country of citizenship - Confederate States of America
Patrick Cleburne,P27: country of citizenship - Confederate States of America
Rebecca Rainey Hood,P27: country of citizenship - Confederate States of America
Robert Edward Lee,P27: country of citizenship - Confederate States of America
Robert Ould,P27: country of citizenship - Confederate States of America
Robert Ward Johnson,P27: country of citizenship - Confederate States of America
Samuel B. McKinney,P27: country of citizenship - Confederate States of America
Samuel Wragg Ferguson,P27: country of citizenship - Confederate States of America
Sterling Price,P27: country of citizenship - Confederate States of America
Swamp Fox,P27: country of citizenship - Confederate States of America
Thomas Carmichael Hindman,P27: country of citizenship - Confederate States of America
"Thomas Carmichael Hindman, Jr.",P27: country of citizenship - Confederate States of America
Thomas H. Taylor,P27: country of citizenship - Confederate States of America
Thomas Michelle Carter,P27: country of citizenship - Confederate States of America
Thomas Reade Rootes Cobb,P27: country of citizenship - Confederate States of America
Virginia Myers McBlair,P27: country of citizenship - Confederate States of America
William Allan,P27: country of citizenship - Confederate States of America
William C. Oates,P27: country of citizenship - Confederate States of America
William Elliott Simms,P27: country of citizenship - Confederate States of America
William Pinkney Cline,P27: country of citizenship - Confederate States of America
William Taylor Sullivan Barry,P27: country of citizenship - Confederate States of America
Abner Monroe Perrin,P241: military branch - Confederate States of America army
Abraham Buford II,P241: military branch - Confederate States of America army
Abraham K. Allison,P241: military branch - Confederate States of America army
Abraham Myers,P241: military branch - Confederate States of America army
Abram Fulkerson,P241: military branch - Confederate States of America army
Absolom M. West,P241: military branch - Confederate States of America army
Adam McWillie,P241: military branch - Confederate States of America army
Adley H. Gladden,P241: military branch - Confederate States of America army
Adolph Meyer,P241: military branch - Confederate States of America army
Adolph Proskauer,P241: military branch - Confederate States of America army
Adolphus Heiman,P241: military branch - Confederate States of America army
Albert Creswell Garlington,P241: military branch - Confederate States of America army
Albert Gallatin Jenkins,P241: military branch - Confederate States of America army
Albert Miller Lea,P241: military branch - Confederate States of America army
Albert Parsons,P241: military branch - Confederate States of America army
Albert Pike,P241: military branch - Confederate States of America army
Albert Rust,P241: military branch - Confederate States of America army
Albert S. Marks,P241: military branch - Confederate States of America army
Albert Taylor Bledsoe,P241: military branch - Confederate States of America army
Albert Taylor Goodwyn,P241: military branch - Confederate States of America army
Alcibiades DeBlanc,P241: military branch - Confederate States of America army
Alexander Boarman,P241: military branch - Confederate States of America army
Alexander Boteler,P241: military branch - Confederate States of America army
Alexander Cheves Haskell,P241: military branch - Confederate States of America army
Alexander Davis,P241: military branch - Confederate States of America army
Alexander E. Steen,P241: military branch - Confederate States of America army
Alexander Ferdinand Mathews,P241: military branch - Confederate States of America army
Alexander Hart,P241: military branch - Confederate States of America army
Alexander McKinstry,P241: military branch - Confederate States of America army
Alexander P. Stewart,P241: military branch - Confederate States of America army
Alexander Q. Holladay,P241: military branch - Confederate States of America army
Alexander Travis Hawthorn,P241: military branch - Confederate States of America army
Alexander W. Monroe,P241: military branch - Confederate States of America army
Alexander W. Reynolds,P241: military branch - Confederate States of America army
Alexander William Campbell,P241: military branch - Confederate States of America army
Alexanenr W. Terrell,P241: military branch - Confederate States of America army
Alfred Beckley,P241: military branch - Confederate States of America army
Alfred Cumming,P241: military branch - Confederate States of America army
Alfred Dockery,P241: military branch - Confederate States of America army
Alfred Horatio Belo,P241: military branch - Confederate States of America army
"Alfred Iverson, Jr.",P241: military branch - Confederate States of America army
Alfred Madison Barbour,P241: military branch - Confederate States of America army
Alfred Marmaduke Hobby,P241: military branch - Confederate States of America army
Alfred Moore Scales,P241: military branch - Confederate States of America army
Alfred Moore Waddell,P241: military branch - Confederate States of America army
Alfred Morrison Lay,P241: military branch - Confederate States of America army
Alfred Mouton,P241: military branch - Confederate States of America army
Alfred Rowland,P241: military branch - Confederate States of America army
Alfred Swann,P241: military branch - Confederate States of America army
Allen D. Candler,P241: military branch - Confederate States of America army
Allen S. Cutts,P241: military branch - Confederate States of America army
Allen Thomas,P241: military branch - Confederate States of America army
Allison Nelson,P241: military branch - Confederate States of America army
Alonzo Ridley,P241: military branch - Confederate States of America army
Alpheus Baker,P241: military branch - Confederate States of America army
Ambrosio José Gonzales,P241: military branch - Confederate States of America army
Amos McLemore,P241: military branch - Confederate States of America army
Andre Cailloux,P241: military branch - Confederate States of America army
Andrew Gray,P241: military branch - Confederate States of America army
Andrew J. Grigsby,P241: military branch - Confederate States of America army
Andrew Jackson Caldwell,P241: military branch - Confederate States of America army
"Andrew Russell Barbee, Jr.",P241: military branch - Confederate States of America army
Angus William McDonald,P241: military branch - Confederate States of America army
Anthony Martin Branch,P241: military branch - Confederate States of America army
Antoine James de Marigny,P241: military branch - Confederate States of America army
Archibald C. Godwin,P241: military branch - Confederate States of America army
Archibald Gracie III,P241: military branch - Confederate States of America army
Archibald Magill Fauntleroy,P241: military branch - Confederate States of America army
Archibald S. Dobbins,P241: military branch - Confederate States of America army
Archibald T. MacIntyre,P241: military branch - Confederate States of America army
Armistead Lindsay Long,P241: military branch - Confederate States of America army
Arthur Pendleton Mason,P241: military branch - Confederate States of America army
Auburn Pridemore,P241: military branch - Confederate States of America army
Augustus A. Chapman,P241: military branch - Confederate States of America army
Augustus Romaldus Wright,P241: military branch - Confederate States of America army
Barnard Elliott Bee,P241: military branch - Confederate States of America army
Basil Lanneau Gildersleeve,P241: military branch - Confederate States of America army
Basil W. Duke,P241: military branch - Confederate States of America army
Benjamin Anderson,P241: military branch - Confederate States of America army
Benjamin Cudworth Yancey Jr.,P241: military branch - Confederate States of America army
Benjamin E. Russell,P241: military branch - Confederate States of America army
Benjamin F. Jonas,P241: military branch - Confederate States of America army
Benjamin Franklin Bradley,P241: military branch - Confederate States of America army
Benjamin Franklin Gordon,P241: military branch - Confederate States of America army
Benjamin Franklin Terry,P241: military branch - Confederate States of America army
Benjamin Grubb Humphreys,P241: military branch - Confederate States of America army
Benjamin H. Bunn,P241: military branch - Confederate States of America army
Benjamin J. Hill,P241: military branch - Confederate States of America army
Benjamin Joseph Franklin,P241: military branch - Confederate States of America army
Benjamin Lyons Farinholt,P241: military branch - Confederate States of America army
Benjamin McCulloch,P241: military branch - Confederate States of America army
Benjamin Stoddert Ewell,P241: military branch - Confederate States of America army
Benjamin T. Brockman,P241: military branch - Confederate States of America army
Bennett H. Young,P241: military branch - Confederate States of America army
Bethel Coopwood,P241: military branch - Confederate States of America army
Beverley Randolph Mason,P241: military branch - Confederate States of America army
Beverly B. Douglas,P241: military branch - Confederate States of America army
Beverly Robertson,P241: military branch - Confederate States of America army
Bill Arp,P241: military branch - Confederate States of America army
Bradley Tyler Johnson,P241: military branch - Confederate States of America army
Bryan M. Thomas,P241: military branch - Confederate States of America army
C. C. Coppedge,P241: military branch - Confederate States of America army
C.C. Crews,P241: military branch - Confederate States of America army
C.C. Slaughter,P241: military branch - Confederate States of America army
Caleb Huse,P241: military branch - Confederate States of America army
Caleb W. Dorsey,P241: military branch - Confederate States of America army
Calvin D. Venable,P241: military branch - Confederate States of America army
Campbell Slemp,P241: military branch - Confederate States of America army
Carl Jacob Hammarsköld,P241: military branch - Confederate States of America army
Chapman L. Anderson,P241: military branch - Confederate States of America army
Charles C. Tew,P241: military branch - Confederate States of America army
Charles DeWitt Anderson,P241: military branch - Confederate States of America army
Charles E. Hooker,P241: military branch - Confederate States of America army
Charles F. Buck,P241: military branch - Confederate States of America army
Charles Frederick Crisp,P241: military branch - Confederate States of America army
Charles Frederick Fisher,P241: military branch - Confederate States of America army
Charles Frederick Henningsen,P241: military branch - Confederate States of America army
Charles H. Olmstead,P241: military branch - Confederate States of America army
Charles Hays,P241: military branch - Confederate States of America army
Charles Henry Simonton,P241: military branch - Confederate States of America army
Charles J. Faulkner,P241: military branch - Confederate States of America army
Charles Jacques Villeré,P241: military branch - Confederate States of America army
Charles James Munnerlyn,P241: military branch - Confederate States of America army
Charles L. Pyron,P241: military branch - Confederate States of America army
Charles M. Shelley,P241: military branch - Confederate States of America army
Charles Manly Stedman,P241: military branch - Confederate States of America army
Charles Marshall,P241: military branch - Confederate States of America army
Charles Minor Blackford,P241: military branch - Confederate States of America army
Charles Pelham,P241: military branch - Confederate States of America army
Charles S. Venable,P241: military branch - Confederate States of America army
Charles Sidney Winder,P241: military branch - Confederate States of America army
Charles Triplett O’Ferrall,P241: military branch - Confederate States of America army
Charles W. Adams,P241: military branch - Confederate States of America army
Charles W. Phifer,P241: military branch - Confederate States of America army
Charles W. Turner,P241: military branch - Confederate States of America army
Chatham Roberdeau Wheat,P241: military branch - Confederate States of America army
Christian Streit White,P241: military branch - Confederate States of America army
Christopher C. Upson,P241: military branch - Confederate States of America army
Christopher Columbus Nash,P241: military branch - Confederate States of America army
Cicero C. Hammock,P241: military branch - Confederate States of America army
Claudius C. Wilson,P241: military branch - Confederate States of America army
Claudius W. Sears,P241: military branch - Confederate States of America army
Clement H. Stevens,P241: military branch - Confederate States of America army
Clement Sulivane,P241: military branch - Confederate States of America army
Clifford Anderson,P241: military branch - Confederate States of America army
Clifton R. Breckinridge,P241: military branch - Confederate States of America army
Collett Leventhorpe,P241: military branch - Confederate States of America army
Constantine B. Kilgore,P241: military branch - Confederate States of America army
Cullen A. Battle,P241: military branch - Confederate States of America army
D. Wyatt Aiken,P241: military branch - Confederate States of America army
Dandridge McRae,P241: military branch - Confederate States of America army
Daniel B. Wright,P241: military branch - Confederate States of America army
Daniel Govan,P241: military branch - Confederate States of America army
Daniel H. Reynolds,P241: military branch - Confederate States of America army
Daniel Harvey Hill,P241: military branch - Confederate States of America army
Daniel Lindsay Russell,P241: military branch - Confederate States of America army
Daniel M. Frost,P241: military branch - Confederate States of America army
Daniel Showalter,P241: military branch - Confederate States of America army
Daniel Webster Jones,P241: military branch - Confederate States of America army
Danville Leadbetter,P241: military branch - Confederate States of America army
David A. Weisiger,P241: military branch - Confederate States of America army
David B. Culberson,P241: military branch - Confederate States of America army
David Bullock Harris,P241: military branch - Confederate States of America army
David Campbell Humphreys,P241: military branch - Confederate States of America army
David French Boyd,P241: military branch - Confederate States of America army
David Funsten,P241: military branch - Confederate States of America army
David Gregg McIntosh,P241: military branch - Confederate States of America army
David Jackson Bailey,P241: military branch - Confederate States of America army
David Lang,P241: military branch - Confederate States of America army
David M. Key,P241: military branch - Confederate States of America army
David Robert Wingate,P241: military branch - Confederate States of America army
David S. Terry,P241: military branch - Confederate States of America army
David Williamson Carroll,P241: military branch - Confederate States of America army
Donelson Caffery,P241: military branch - Confederate States of America army
Douglas H. Cooper,P241: military branch - Confederate States of America army
Dudley McIver DuBose,P241: military branch - Confederate States of America army
Duncan K. McRae,P241: military branch - Confederate States of America army
E. John Ellis,P241: military branch - Confederate States of America army
Earl Van Dorn,P241: military branch - Confederate States of America army
Edgar Gilmer Dawson,P241: military branch - Confederate States of America army
Edmund Kirby Smith,P241: military branch - Confederate States of America army
Edmund Pettus,P241: military branch - Confederate States of America army
Edmund Rucker,P241: military branch - Confederate States of America army
Edmund W. Hubard,P241: military branch - Confederate States of America army
Edmund William Cole,P241: military branch - Confederate States of America army
Edward A. O'Neal,P241: military branch - Confederate States of America army
Edward Brickell White,P241: military branch - Confederate States of America army
Edward Bullock,P241: military branch - Confederate States of America army
Edward Carrington Cabell,P241: military branch - Confederate States of America army
Edward Clark,P241: military branch - Confederate States of America army
Edward Crossland,P241: military branch - Confederate States of America army
Edward D. Tracy,P241: military branch - Confederate States of America army
Edward Douglass White,P241: military branch - Confederate States of America army
Edward Higgins,P241: military branch - Confederate States of America army
Edward Isaac Golladay,P241: military branch - Confederate States of America army
Edward M. Yerger,P241: military branch - Confederate States of America army
Edward McAlexander,P241: military branch - Confederate States of America army
Edward Parke Custis Lewis,P241: military branch - Confederate States of America army
Edward Tiffin Harrison Warren,P241: military branch - Confederate States of America army
Edwin Francis Jemison,P241: military branch - Confederate States of America army
Edwin Gray Lee,P241: military branch - Confederate States of America army
Elbert S. Martin,P241: military branch - Confederate States of America army
Eli Sims Shorter,P241: military branch - Confederate States of America army
Eli T. Stackhouse,P241: military branch - Confederate States of America army
Elias Cornelius Boudinot,P241: military branch - Confederate States of America army
Elijah Gates,P241: military branch - Confederate States of America army
Elijah V. White,P241: military branch - Confederate States of America army
Elijah Webb Chastain,P241: military branch - Confederate States of America army
Elisha F. Paxton,P241: military branch - Confederate States of America army
Elliott M. Braxton,P241: military branch - Confederate States of America army
Ellison Capers,P241: military branch - Confederate States of America army
Emile La Sére,P241: military branch - Confederate States of America army
Eppa Hunton,P241: military branch - Confederate States of America army
Erasmus Burt,P241: military branch - Confederate States of America army
Eugene Allen Smith,P241: military branch - Confederate States of America army
Eustace Gibson,P241: military branch - Confederate States of America army
Evan Howell,P241: military branch - Confederate States of America army
Evander McNair,P241: military branch - Confederate States of America army
Felix Huston Robertson,P241: military branch - Confederate States of America army
Felix Zollicoffer,P241: military branch - Confederate States of America army
Fountain E. Pitts,P241: military branch - Confederate States of America army
Francis A. Hendry,P241: military branch - Confederate States of America army
Francis A. Shoup,P241: military branch - Confederate States of America army
Francis Cockrell,P241: military branch - Confederate States of America army
Francis Henney Smith,P241: military branch - Confederate States of America army
Francis Lubbock,P241: military branch - Confederate States of America army
Francis Marion Walker,P241: military branch - Confederate States of America army
Francis S. Bartow,P241: military branch - Confederate States of America army
Frank A. Montgomery,P241: military branch - Confederate States of America army
Frank Crawford Armstrong,P241: military branch - Confederate States of America army
Frank Huger,P241: military branch - Confederate States of America army
"Franklin J. Moses, Jr.",P241: military branch - Confederate States of America army
"Frederick Bird Smith Cocke, Jr.",P241: military branch - Confederate States of America army
Frederick R. De Funiak,P241: military branch - Confederate States of America army
Frederick W. M. Holliday,P241: military branch - Confederate States of America army
Frisby McCullough,P241: military branch - Confederate States of America army
Gabriel C. Wharton,P241: military branch - Confederate States of America army
Gaspar Tochman,P241: military branch - Confederate States of America army
George A. Porterfield,P241: military branch - Confederate States of America army
George Allen Gilreath,P241: military branch - Confederate States of America army
George Anderson Gordon,P241: military branch - Confederate States of America army
George B. Cosby,P241: military branch - Confederate States of America army
George Baird Hodge,P241: military branch - Confederate States of America army
George Cabell,P241: military branch - Confederate States of America army
George D. Wise,P241: military branch - Confederate States of America army
George Doherty Johnston,P241: military branch - Confederate States of America army
George E. Dixon,P241: military branch - Confederate States of America army
George E. Harris,P241: military branch - Confederate States of America army
George Gibbs Dibrell,P241: military branch - Confederate States of America army
George H. Steuart,P241: military branch - Confederate States of America army
George H. Tichenor,P241: military branch - Confederate States of America army
George H. Wells,P241: military branch - Confederate States of America army
George Henry Craig,P241: military branch - Confederate States of America army
George Hillyer,P241: military branch - Confederate States of America army
George Maney,P241: military branch - Confederate States of America army
George Nelson Lester,P241: military branch - Confederate States of America army
George Oscar Dawson,P241: military branch - Confederate States of America army
George P. Doles,P241: military branch - Confederate States of America army
George Paul Harrison,P241: military branch - Confederate States of America army
"George Paul Harrison, Sr.",P241: military branch - Confederate States of America army
George Rainsford Fairbanks,P241: military branch - Confederate States of America army
George Right Smith,P241: military branch - Confederate States of America army
George Robison Black,P241: military branch - Confederate States of America army
"George S. Patton, Sr.",P241: military branch - Confederate States of America army
George St. Leger Grenfell,P241: military branch - Confederate States of America army
George Taliaferro Ward,P241: military branch - Confederate States of America army
George Thomas Barnes,P241: military branch - Confederate States of America army
George W. Guess,P241: military branch - Confederate States of America army
George W. L. Bickley,P241: military branch - Confederate States of America army
George W. Littlefield,P241: military branch - Confederate States of America army
George W. Randolph,P241: military branch - Confederate States of America army
George W. Shell,P241: military branch - Confederate States of America army
George Washington Glasscock,P241: military branch - Confederate States of America army
George Washington Gordon,P241: military branch - Confederate States of America army
George Washington Grayson,P241: military branch - Confederate States of America army
George Washington Helme,P241: military branch - Confederate States of America army
George Washington Rains,P241: military branch - Confederate States of America army
George Washington Scott,P241: military branch - Confederate States of America army
George Washington Triplett,P241: military branch - Confederate States of America army
George William Peterkin,P241: military branch - Confederate States of America army
Georges Augustus Gaston De Coppens,P241: military branch - Confederate States of America army
Gideon Gibson Jr.,P241: military branch - Confederate States of America army
Gideon Johnson Pillow,P241: military branch - Confederate States of America army
Gideon W. Thompson,P241: military branch - Confederate States of America army
Gilbert Elliott,P241: military branch - Confederate States of America army
Gilbert S. Meem,P241: military branch - Confederate States of America army
Given Campbell,P241: military branch - Confederate States of America army
Goldsmith W. Hewitt,P241: military branch - Confederate States of America army
Granville Henderson Oury,P241: military branch - Confederate States of America army
Greenfield Quarles,P241: military branch - Confederate States of America army
Guy M. Bryan,P241: military branch - Confederate States of America army
Hannibal Boone,P241: military branch - Confederate States of America army
Hansford Dade Duncan Twiggs,P241: military branch - Confederate States of America army
Harris Flanagin,P241: military branch - Confederate States of America army
Harrison H. Riddleberger,P241: military branch - Confederate States of America army
Harry Gilmor,P241: military branch - Confederate States of America army
Harry I. Thornton,P241: military branch - Confederate States of America army
Harry T. Hays,P241: military branch - Confederate States of America army
Harry Theophilus Toulmin,P241: military branch - Confederate States of America army
Harvey Wallis Salmon,P241: military branch - Confederate States of America army
Harvey Washington Walter,P241: military branch - Confederate States of America army
Heinrich Hartmann Wirz,P241: military branch - Confederate States of America army
Hendley S. Bennett,P241: military branch - Confederate States of America army
Henry A. Edmundson,P241: military branch - Confederate States of America army
Henry A. Wise,P241: military branch - Confederate States of America army
Henry Brainerd McClellan,P241: military branch - Confederate States of America army
Henry C. Wayne,P241: military branch - Confederate States of America army
Henry Cornelius Burnett,P241: military branch - Confederate States of America army
Henry Dickerson McDaniel,P241: military branch - Confederate States of America army
Henry Eustace McCulloch,P241: military branch - Confederate States of America army
Henry Gantt,P241: military branch - Confederate States of America army
Henry Gaston Bunn,P241: military branch - Confederate States of America army
Henry Gray,P241: military branch - Confederate States of America army
Henry Gray Turner,P241: military branch - Confederate States of America army
Henry Guibor,P241: military branch - Confederate States of America army
Henry Haines,P241: military branch - Confederate States of America army
Henry Harrison Walker,P241: military branch - Confederate States of America army
Henry Hughes,P241: military branch - Confederate States of America army
Henry Hull Carlton,P241: military branch - Confederate States of America army
Henry K. Burgwyn,P241: military branch - Confederate States of America army
Henry Kyd Douglas,P241: military branch - Confederate States of America army
Henry L. Benning,P241: military branch - Confederate States of America army
Henry Lowndes Muldrow,P241: military branch - Confederate States of America army
Henry M. Elmore,P241: military branch - Confederate States of America army
Henry M. Mathews,P241: military branch - Confederate States of America army
Henry Marchmore Shaw,P241: military branch - Confederate States of America army
Henry Marshall Ashby,P241: military branch - Confederate States of America army
Henry Percy Brewster,P241: military branch - Confederate States of America army
Henry Persons,P241: military branch - Confederate States of America army
Henry R. Harris,P241: military branch - Confederate States of America army
Henry Smith Van Eaton,P241: military branch - Confederate States of America army
Henry Warren Ogden,P241: military branch - Confederate States of America army
Henry Washington Hilliard,P241: military branch - Confederate States of America army
Henry Wemyss Feilden,P241: military branch - Confederate States of America army
Heros von Borcke,P241: military branch - Confederate States of America army
Hezekiah G. Spruill,P241: military branch - Confederate States of America army
Hezekiah William Foote,P241: military branch - Confederate States of America army
Hilary A. Herbert,P241: military branch - Confederate States of America army
Hiram B. Granbury,P241: military branch - Confederate States of America army
Hiram Parks Bell,P241: military branch - Confederate States of America army
Holmes Conrad,P241: military branch - Confederate States of America army
Horace Randal,P241: military branch - Confederate States of America army
Hugh W. Mercer,P241: military branch - Confederate States of America army
Humphrey Marshall,P241: military branch - Confederate States of America army
Hylan B. Lyon,P241: military branch - Confederate States of America army
Ignacy Szymański,P241: military branch - Confederate States of America army
Ignatius Elgin Shumate,P241: military branch - Confederate States of America army
Isaac E. Avery,P241: military branch - Confederate States of America army
Isaac Parsons,P241: military branch - Confederate States of America army
Isaac W. Smith,P241: military branch - Confederate States of America army
Isham G. Harris,P241: military branch - Confederate States of America army
Israel Victor Welch,P241: military branch - Confederate States of America army
J. Floyd King,P241: military branch - Confederate States of America army
J. J. McAlester,P241: military branch - Confederate States of America army
J. Johnston Pettigrew,P241: military branch - Confederate States of America army
J. Smith Young,P241: military branch - Confederate States of America army
J. Thompson Brown,P241: military branch - Confederate States of America army
J. William Jones,P241: military branch - Confederate States of America army
Jabez Lamar Monroe Curry,P241: military branch - Confederate States of America army
Jacob H. Sharp,P241: military branch - Confederate States of America army
James A. Walker,P241: military branch - Confederate States of America army
James Argyle Smith,P241: military branch - Confederate States of America army
James Augustus Washington,P241: military branch - Confederate States of America army
James B. Eustis,P241: military branch - Confederate States of America army
James B. Gordon,P241: military branch - Confederate States of America army
James B. McCreary,P241: military branch - Confederate States of America army
James B. Morgan,P241: military branch - Confederate States of America army
James B. Terrill,P241: military branch - Confederate States of America army
James B. Walton,P241: military branch - Confederate States of America army
James Barbour,P241: military branch - Confederate States of America army
James Boggs,P241: military branch - Confederate States of America army
James Buchanan Richmond,P241: military branch - Confederate States of America army
James C. Loving,P241: military branch - Confederate States of America army
James Camp Tappan,P241: military branch - Confederate States of America army
James Cantey,P241: military branch - Confederate States of America army
James Chesnut junior,P241: military branch - Confederate States of America army
James Conner,P241: military branch - Confederate States of America army
James D. Porter,P241: military branch - Confederate States of America army
James D. Richardson,P241: military branch - Confederate States of America army
James Dearing,P241: military branch - Confederate States of America army
James Deshler,P241: military branch - Confederate States of America army
James E. Bailey,P241: military branch - Confederate States of America army
James E. Cantrill,P241: military branch - Confederate States of America army
James E. Cobb,P241: military branch - Confederate States of America army
James E. Harrison,P241: military branch - Confederate States of America army
James E. Slaughter,P241: military branch - Confederate States of America army
James Edwards Rains,P241: military branch - Confederate States of America army
James Ewell Brown «J.E.B.» Stuart,P241: military branch - Confederate States of America army
James F. Izlar,P241: military branch - Confederate States of America army
James Fairlie Cooper,P241: military branch - Confederate States of America army
James Ferguson Dowdell,P241: military branch - Confederate States of America army
James French Patton,P241: military branch - Confederate States of America army
James G. Field,P241: military branch - Confederate States of America army
James H. Akin,P241: military branch - Confederate States of America army
James H. Burton,P241: military branch - Confederate States of America army
James H. DeVotie,P241: military branch - Confederate States of America army
James H. Jones,P241: military branch - Confederate States of America army
James H. McBride,P241: military branch - Confederate States of America army
James H. Trapier,P241: military branch - Confederate States of America army
James Hagan,P241: military branch - Confederate States of America army
James Harvey Carson,P241: military branch - Confederate States of America army
James Henderson Berry,P241: military branch - Confederate States of America army
James Henderson Blount,P241: military branch - Confederate States of America army
James Henry Lane,P241: military branch - Confederate States of America army
"James Hervey Witherspoon, Jr.",P241: military branch - Confederate States of America army
James J. Archer,P241: military branch - Confederate States of America army
James K. Marshall,P241: military branch - Confederate States of America army
James L. Pugh,P241: military branch - Confederate States of America army
James Lide Coker,P241: military branch - Confederate States of America army
James Longstreet,P241: military branch - Confederate States of America army
James M. Goggin,P241: military branch - Confederate States of America army
James M. McIntosh,P241: military branch - Confederate States of America army
James Madison Leach,P241: military branch - Confederate States of America army
James Milton Smith,P241: military branch - Confederate States of America army
